Model,ROC_AUC,Precision,Recall,F1
XGBoost,0.7775,0.5245901639344263,0.5333333333333333,0.5289256198347108
Logistic Regression,0.7654761904761905,0.49382716049382713,0.6666666666666666,0.5673758865248227
Random Forest,0.7647619047619048,0.5138888888888888,0.6166666666666667,0.5606060606060606
